plot_id,a_hhid,resp_id,latitude,longitude,unique_id
p1_12,20840072,208400721,30.5189592070215,74.8275975510478,1208400721
p1_13,20840072,208400721,30.5194490569964,74.8281930014491,1208400721
p1_1,20840101,208401011,30.5227378619692,74.8144902661442,1208401011
p1_2,20840101,208401011,30.5230985926519,74.814962670207,1208401011
p1_3,20840101,208401011,30.5234766508334,74.8154954239726,1208401011
p1_4,20840101,208401011,30.5241077072412,74.8163510486483,1208401011
p1_5,20840101,208401011,30.5238347794579,74.8167728260159,1208401011
p1_6,20840101,208401011,30.5235580963301,74.8164563253521,1208401011
p1_7,20840101,208401011,30.5231118781438,74.8158571869134,1208401011
p1_8,20840101,208401011,30.5223395837033,74.8148731514811,1208401011
p1_9,20840101,208401011,30.5227378619692,74.8144902661442,1208401011
p1_1,20840135,208401351,30.5146786912357,74.8315427452325,1208401351
p1_2,20840135,208401351,30.513793681192,74.8324657604098,1208401351
p1_3,20840135,208401351,30.514146068663,74.8328701034188,1208401351
p1_4,20840135,208401351,30.513642905179,74.8334142565727,1208401351
p1_5,20840135,208401351,30.5132151275167,74.83381960541,1208401351
p1_6,20840135,208401351,30.5134979058042,74.8340221121907,1208401351
p1_7,20840135,208401351,30.5136154650749,74.8342048376798,1208401351
p1_8,20840135,208401351,30.5137642192309,74.8343459889292,1208401351
p1_9,20840135,208401351,30.5138722463782,74.8343704640865,1208401351
p1_10,20840135,208401351,30.5141974824659,74.8340998962521,1208401351
p1_11,20840135,208401351,30.5143309271534,74.8342413827776,1208401351
p1_12,20840135,208401351,30.5152916079601,74.8332077264785,1208401351
p1_13,20840135,208401351,30.5156725848813,74.8328043892979,1208401351
p1_14,20840135,208401351,30.5146786912357,74.8315427452325,1208401351
p1_1,20840150,208401501,30.5228089107123,74.8272880911827,1208401501
p1_2,20840150,208401501,30.5235072651061,74.8265186324715,1208401501
p1_3,20840150,208401501,30.5231783055765,74.8259872198104,1208401501
p1_4,20840150,208401501,30.5232580184357,74.8259104415774,1208401501
p1_5,20840150,208401501,30.5228819811135,74.8254360258579,1208401501
p1_6,20840150,208401501,30.5222722892448,74.8261397704482,1208401501
p1_7,20840150,208401501,30.5224597316335,74.8268062993884,1208401501
p1_8,20840150,208401501,30.5228089107123,74.8272880911827,1208401501
p1_1,20840168,208401681,30.505583558129,74.8284602165222,1208401681
p1_2,20840168,208401681,30.5055168298052,74.8283653333783,1208401681
p1_3,20840168,208401681,30.5054720553631,74.8283153772354,1208401681
p1_4,20840168,208401681,30.5051924312844,74.8285550996661,1208401681
p1_5,20840168,208401681,30.5039889986453,74.8298331722617,1208401681
p1_6,20840168,208401681,30.5039863987987,74.8298308253288,1208401681
p1_7,20840168,208401681,30.5036198197332,74.8293681442737,1208401681
p1_8,20840168,208401681,30.5032439953168,74.8297791928053,1208401681
p1_9,20840168,208401681,30.5022794400717,74.8307816684246,1208401681
p1_10,20840168,208401681,30.5031610884283,74.831866286695,1208401681
p1_11,20840168,208401681,30.5034736499176,74.8317261412739,1208401681
p1_12,20840168,208401681,30.5035894880702,74.8317623510956,1208401681
p1_13,20840168,208401681,30.5038153865146,74.8316621035337,1208401681
p1_14,20840168,208401681,30.5045439198666,74.8314029350876,1208401681
p1_15,20840168,208401681,30.5039950649538,74.8307065665721,1208401681
p1_16,20840168,208401681,30.5043757972697,74.8303337395191,1208401681
p1_17,20840168,208401681,30.5052866022932,74.8293356224894,1208401681
p1_18,20840168,208401681,30.505660685615,74.8289071395993,1208401681
p1_19,20840168,208401681,30.505836316516,74.8287344723939,1208401681
p1_20,20840168,208401681,30.505583558129,74.8284602165222,1208401681
p1_1,20840174,208401741,30.4983783679453,74.8337780311703,1208401741
p1_2,20840174,208401741,30.4991624081848,74.8347640782594,1208401741
p1_3,20840174,208401741,30.499546337154,74.8344076797366,1208401741
p1_4,20840174,208401741,30.4988654327433,74.8335544019937,1208401741
p1_5,20840174,208401741,30.4983783679453,74.8337780311703,1208401741
p1_1,20840181,208401811,30.5098768951083,74.8330789804458,1208401811
p1_2,20840181,208401811,30.5092136832598,74.8338112235069,1208401811
p1_3,20840181,208401811,30.508958911652,74.8335134983062,1208401811
p1_4,20840181,208401811,30.5090444133091,74.8333176970481,1208401811
p1_5,20840181,208401811,30.5089695993632,74.8331886157393,1208401811
p1_6,20840181,208401811,30.5097258241661,74.832379259169,1208401811
p1_7,20840181,208401811,30.5098884492815,74.8325133696198,1208401811
p1_8,20840181,208401811,30.5098768951083,74.8330789804458,1208401811
p1_1,20840192,208401921,30.5216553730676,74.8190926015377,1208401921
p1_2,20840192,208401921,30.5210419188284,74.8183352127671,1208401921
p1_3,20840192,208401921,30.5207528084024,74.8186372965574,1208401921
p1_4,20840192,208401921,30.5209829992909,74.8189484328031,1208401921
p1_5,20840192,208401921,30.5201852714485,74.8197688534855,1208401921
p1_6,20840192,208401921,30.5205422569115,74.8202674090862,1208401921
p1_7,20840192,208401921,30.5216553730676,74.8190926015377,1208401921
p1_1,20840195,208401951,30.5180135816316,74.8340190947056,1208401951
p1_2,20840195,208401951,30.5164209590047,74.8356233909726,1208401951
p1_3,20840195,208401951,30.5173212532389,74.8365973681211,1208401951
p1_4,20840195,208401951,30.5187619377316,74.8349568620324,1208401951
p1_5,20840195,208401951,30.5180135816316,74.8340190947056,1208401951
p1_1,20840208,208402081,30.5161364562055,74.8214532807469,1208402081
p1_2,20840208,208402081,30.5159530453301,74.8216500878334,1208402081
p1_3,20840208,208402081,30.5157731001506,74.8218616470694,1208402081
p1_4,20840208,208402081,30.5150845107056,74.8209574073553,1208402081
p1_5,20840208,208402081,30.5151009745202,74.8209181800484,1208402081
p1_6,20840208,208402081,30.5152520371102,74.8207776993513,1208402081
p1_7,20840208,208402081,30.5154472916588,74.8205765336751,1208402081
p1_8,20840208,208402081,30.5161364562055,74.8214532807469,1208402081
p1_1,20840209,208402091,30.5093451127965,74.8337069526314,1208402091
p1_2,20840209,208402091,30.5096642980746,74.8341763392091,1208402091
p1_3,20840209,208402091,30.5093384691099,74.8345106095075,1208402091
p1_4,20840209,208402091,30.5090207270467,74.8348257690668,1208402091
p1_5,20840209,208402091,30.5086963402148,74.8351757973432,1208402091
p1_6,20840209,208402091,30.5083881283932,74.8354956507682,1208402091
p1_7,20840209,208402091,30.5080334091738,74.8358540609478,1208402091
p1_8,20840209,208402091,30.5077142185422,74.8353950679302,1208402091
p1_9,20840209,208402091,30.5093451127965,74.8337069526314,1208402091
p1_1,20840218,208402181,30.5201569667198,74.8207062855362,1208402181
p1_2,20840218,208402181,30.5196893598551,74.8211750015616,1208402181
p1_3,20840218,208402181,30.5193661639254,74.8207052797079,1208402181
p1_4,20840218,208402181,30.5198600553951,74.820169173181,1208402181
p1_5,20840218,208402181,30.5201569667198,74.8207062855362,1208402181
p1_1,20840220,208402201,30.5149857277593,74.8183100670576,1208402201
p1_2,20840220,208402201,30.5143017541962,74.8190292343497,1208402201
p1_3,20840220,208402201,30.5139710304559,74.818620532751,1208402201
p1_4,20840220,208402201,30.5146252558056,74.8178681731224,1208402201
p1_5,20840220,208402201,30.5149857277593,74.8183100670576,1208402201
p1_1,20910019,209100191,30.688623862698,74.8608431965112,1209100191
p1_2,20910019,209100191,30.6886278992048,74.8613652214407,1209100191
p1_3,20910019,209100191,30.6887461111148,74.8613551631569,1209100191
p1_4,20910019,209100191,30.6887276585335,74.8614916205406,1209100191
p1_5,20910019,209100191,30.6897445634967,74.8614725098013,1209100191
p1_6,20910019,209100191,30.6897506181865,74.8608623072504,1209100191
p1_7,20910019,209100191,30.689280081158,74.8608277738094,1209100191
p1_8,20910019,209100191,30.6893302488181,74.8604810982942,1209100191
p1_9,20910019,209100191,30.6893201576242,74.8601941019296,1209100191
p1_10,20910019,209100191,30.6889332316227,74.8602001368999,1209100191
p1_11,20910019,209100191,30.6889375564375,74.8608016222715,1209100191
p1_12,20910019,209100191,30.688623862698,74.8608431965112,1209100191
p1_1,20910068,209100681,30.687415786294,74.8578136414289,1209100681
p1_2,20910068,209100681,30.6874068482022,74.8585757240653,1209100681
p1_3,20910068,209100681,30.6862786237144,74.8585559427738,1209100681
p1_4,20910068,209100681,30.6863296579205,74.8578696325421,1209100681
p1_5,20910068,209100681,30.687415786294,74.8578136414289,1209100681
p1_1,20910085,209100851,30.7159903819952,74.8554003238677,1209100851
p1_2,20910085,209100851,30.7159745287853,74.8549540713429,1209100851
p1_3,20910085,209100851,30.7159892290346,74.854753576219,1209100851
p1_4,20910085,209100851,30.7159909584755,74.8546003550291,1209100851
p1_5,20910085,209100851,30.7159627109362,74.8545373231172,1209100851
p1_6,20910085,209100851,30.7159529107676,74.8543995246291,1209100851
p1_7,20910085,209100851,30.7166798499844,74.8544102534651,1209100851
p1_8,20910085,209100851,30.7166879206508,74.8554060235619,1209100851
p1_9,20910085,209100851,30.7159903819952,74.8554003238677,1209100851
p1_1,20910101,209101011,30.6943281433486,74.8663346841931,1209101011
p1_2,20910101,209101011,30.6967253686775,74.8664107918739,1209101011
p1_3,20910101,209101011,30.6967426665392,74.8658431693911,1209101011
p1_4,20910101,209101011,30.6965434526435,74.8658505454659,1209101011
p1_5,20910101,209101011,30.6964454311835,74.8657328635454,1209101011
p1_6,20910101,209101011,30.6964295747615,74.8656406626105,1209101011
p1_7,20910101,209101011,30.6940170618788,74.8656158521771,1209101011
p1_8,20910101,209101011,30.6943281433486,74.8663346841931,1209101011
p1_1,20910131,209101311,30.6937786326779,74.8438735306262,1209101311
p1_2,20910131,209101311,30.6937904532446,74.8448089510202,1209101311
p1_3,20910131,209101311,30.6937970842937,74.8448237031698,1209101311
p1_4,20910131,209101311,30.6934534223708,74.8447938635945,1209101311
p1_5,20910131,209101311,30.6934476562207,74.8452826961874,1209101311
p1_6,20910131,209101311,30.6934467912982,74.8457805812358,1209101311
p1_7,20910131,209101311,30.6932299838032,74.8457554355263,1209101311
p1_8,20910131,209101311,30.693226235797,74.8447998985648,1209101311
p1_9,20910131,209101311,30.6933023491249,74.8447693884372,1209101311
p1_10,20910131,209101311,30.6933115749788,74.8438785597681,1209101311
p1_11,20910131,209101311,30.6937786326779,74.8438735306262,1209101311
p1_1,20910136,209101361,30.7204164962555,74.8456803336739,1209101361
p1_2,20910136,209101361,30.7204853824662,74.8456887155771,1209101361
p1_3,20910136,209101361,30.7204977762144,74.845447987318,1209101361
p1_4,20910136,209101361,30.7204133257592,74.8454456403851,1209101361
