plot_id,a_hhid,resp_id,longitude,latitude
p1_5,20440024,204400241,74.8033725097775,30.7888118061351
p1_6,20440024,204400241,74.8033031076192,30.7887478651710
p1_7,20440024,204400241,74.8030690848827,30.7887409526318
p1_8,20440024,204400241,74.8027743771672,30.7887127264249
p1_9,20440024,204400241,74.8027100041508,30.7887164707181
p1_10,20440024,204400241,74.8026781529188,30.7887242473267
p1_11,20440024,204400241,74.8026372492313,30.7886977492505
p1_12,20440024,204400241,74.8025926575064,30.7882956688508
p1_13,20440024,204400241,74.8025366663933,30.7879120203690
p1_14,20440024,204400241,74.8036025092005,30.7878840819438
p1_15,20440024,204400241,74.8039622604846,30.7878734250166
p1_16,20440024,204400241,74.8042304813861,30.7878642082138
p1_17,20440024,204400241,74.8043052479624,30.7882999892079
p1_18,20440024,204400241,74.8049633949995,30.7883066137550
p1_19,20440024,204400241,74.8050059750676,30.7886715391897
p1_20,20440024,204400241,74.8048416897654,30.7887850200608
p1_21,20440024,204400241,74.8048064857721,30.7889923959258
p1_22,20440024,204400241,74.8048038035631,30.7892167645872
p1_23,20440024,204400241,74.8032035306096,30.7895721819087
p1_1,20440108,204401081,74.7856290265917,30.7647770898382
p1_2,20440108,204401081,74.7849604859948,30.7647986969031
p1_3,20440108,204401081,74.7849524393677,30.7649364058164
p1_4,20440108,204401081,74.7843227908015,30.7649289153785
p1_5,20440108,204401081,74.7842436656355,30.7645350903794
p1_6,20440108,204401081,74.7842517122626,30.7645267356253
p1_7,20440108,204401081,74.7855545952916,30.7644175475656
p1_8,20440108,204401081,74.7856290265917,30.7647770898382
p1_1,20450010,204500101,74.7921377420425,30.7868667721075
p1_2,20450010,204500101,74.7920049726963,30.7858886237359
p1_3,20450010,204500101,74.7919704392552,30.7855896470718
p1_4,20450010,204500101,74.7919348999857,30.7849698003908
p1_5,20450010,204500101,74.7928629443049,30.7849470457200
p1_6,20450010,204500101,74.7929206117987,30.7865928570029
p1_7,20450010,204500101,74.7928471863269,30.7866769614083
p1_8,20450010,204500101,74.7928203642368,30.7867746030743
p1_9,20450010,204500101,74.7921377420425,30.7868667721075
p1_1,20450029,204500291,74.7893572971224,30.7841826008687
p1_2,20450029,204500291,74.7882324457168,30.7842119805494
p1_3,20450029,204500291,74.7882555797696,30.7828950707486
p1_4,20450029,204500291,74.7890941053628,30.7828613700643
p1_5,20450029,204500291,74.7893572971224,30.7841826008687
p1_1,20450035,204500351,74.7870579734444,30.7813243758791
p1_2,20450035,204500351,74.7870542854070,30.7818370940607
p1_3,20450035,204500351,74.7887202724814,30.7817861104088
p1_4,20450035,204500351,74.7886166721582,30.7809755531270
p1_5,20450035,204500351,74.7873463109135,30.7811414673270
p1_6,20450035,204500351,74.7873888909816,30.7812872181069
p1_7,20450035,204500351,74.7870579734444,30.7813243758791
p1_1,20550013,205500131,74.6110336482525,30.6803968228510
p1_2,20550013,205500131,74.6123234555125,30.6803818288325
p1_3,20550013,205500131,74.6123060211539,30.6815112755946
p1_4,20550013,205500131,74.6110162138938,30.6814700425140
p1_5,20550013,205500131,74.6110336482525,30.6803968228510
p1_1,20550017,205500171,74.5926380529999,30.6729445087231
p1_2,20550017,205500171,74.5922122523188,30.6729338390793
p1_3,20550017,205500171,74.5921867713332,30.6742793583803
p1_4,20550017,205500171,74.5933672785758,30.6742666703304
p1_5,20550017,205500171,74.5933884009718,30.6729606573710
p1_6,20550017,205500171,74.5926380529999,30.6729445087231
p1_1,20550025,205500251,74.6116730198264,30.6701236445609
p1_2,20550025,205500251,74.6116465330123,30.6721186171321
p1_3,20550025,205500251,74.6099845692515,30.6721526449279
p1_4,20550025,205500251,74.6100838109850,30.6701181653947
p1_5,20550025,205500251,74.6116730198264,30.6701236445609
p1_1,20550046,205500461,74.5988302677869,30.6641231947416
p1_2,20550046,205500461,74.5970811322331,30.6640963739967
p1_3,20550046,205500461,74.5970942080021,30.6634062419484
p1_4,20550046,205500461,74.5975934341549,30.6633961480457
p1_5,20550046,205500461,74.5987370610237,30.6637898094704
p1_6,20550046,205500461,74.5988302677869,30.6641231947416
p1_1,20550059,205500591,74.5986951515078,30.6791889318611
p1_2,20550059,205500591,74.5990039408206,30.6781944072664
p1_3,20550059,205500591,74.6004788205027,30.6781825847901
p1_4,20550059,205500591,74.6003869548439,30.6791246297688
p1_5,20550059,205500591,74.5986951515078,30.6791889318611
p1_1,20550061,205500611,74.5968776196241,30.6842170498984
p1_2,20550061,205500611,74.5972447469830,30.6832090251957
p1_3,20550061,205500611,74.5958627387881,30.6831660628107
p1_4,20550061,205500611,74.5958255231380,30.6840599071517
p1_5,20550061,205500611,74.5968776196241,30.6842170498984
p1_1,20550080,205500801,74.6032834053039,30.6820328869621
p1_2,20550080,205500801,74.6032129973173,30.6836031825609
p1_3,20550080,205500801,74.6028150245547,30.6836037592347
p1_4,20550080,205500801,74.6028599515557,30.6820005926973
p1_5,20550080,205500801,74.6032834053039,30.6820328869621
p1_1,20550091,205500911,74.5865698903799,30.6656147625103
p1_2,20550091,205500911,74.5865444093942,30.6660805122300
p1_3,20550091,205500911,74.5872119441628,30.6661058904784
p1_4,20550091,205500911,74.5872233435511,30.6663331408602
p1_5,20550091,205500911,74.5874892175197,30.6663299685870
p1_6,20550091,205500911,74.5874962583184,30.6656369685851
p1_7,20550091,205500911,74.5865698903799,30.6656147625103
p1_1,20620005,206200051,74.9471080675721,30.5470935614786
p1_2,20620005,206200051,74.9471328780055,30.5465351295090
p1_3,20620005,206200051,74.9484890699386,30.5465001913111
p1_4,20620005,206200051,74.9484330788254,30.5471261895140
p1_5,20620005,206200051,74.9471080675721,30.5470935614786
p1_1,20620007,206200071,74.9375496804714,30.5497150303619
p1_2,20620007,206200071,74.9366058781743,30.5497092556432
p1_3,20620007,206200071,74.9365740269422,30.5487373655870
p1_4,20620007,206200071,74.9373867362737,30.5487304358547
p1_5,20620007,206200071,74.9375496804714,30.5497150303619
p1_1,20620015,206200151,74.9492454528808,30.5493263910250
p1_2,20620015,206200151,74.9492417648434,30.5497739324733
p1_3,20620015,206200151,74.9492323771119,30.5505933610810
p1_4,20620015,206200151,74.9492310360074,30.5508067347666
p1_5,20620015,206200151,74.9492119252681,30.5515132610653
p1_6,20620015,206200151,74.9492333829402,30.5514988245352
p1_7,20620015,206200151,74.9493493884801,30.5514921837307
p1_8,20620015,206200151,74.9493627995252,30.5514633106622
p1_9,20620015,206200151,74.9493859335780,30.5514407896629
p1_10,20620015,206200151,74.9494087323546,30.5514341488543
p1_11,20620015,206200151,74.9494315311312,30.5514329939311
p1_12,20620015,206200151,74.9494332075119,30.5514996907271
p1_13,20620015,206200151,74.9494073912501,30.5515063315311
p1_14,20620015,206200151,74.9494094029068,30.5516252884654
p1_15,20620015,206200151,74.9493798986077,30.5516859217981
p1_16,20620015,206200151,74.9494127556681,30.5519221027045
p1_17,20620015,206200151,74.9495344609022,30.5518874551747
p1_18,20620015,206200151,74.9497084692120,30.5518591596829
p1_19,20620015,206200151,74.9498301744461,30.5518305754532
p1_20,20620015,206200151,74.9498150870203,30.5517419354147
p1_21,20620015,206200151,74.9498613551259,30.5517150835304
p1_22,20620015,206200151,74.9498898535966,30.5516994921103
p1_23,20620015,206200151,74.9498972296714,30.5516408798974
p1_24,20620015,206200151,74.9498968943953,30.5515479087286
p1_25,20620015,206200151,74.9499002471566,30.5513501281509
p1_26,20620015,206200151,74.9499133229255,30.5509736221127
p1_27,20620015,206200151,74.9499072879552,30.5504157899296
p1_28,20620015,206200151,74.9499059468507,30.5493252360766
p1_29,20620015,206200151,74.9492454528808,30.5493263910250
p1_1,20620041,206200411,74.9288264662027,30.5532147354563
p1_2,20620041,206200411,74.9291523545980,30.5532355236914
p1_3,20620041,206200411,74.9291577190160,30.5536146194751
p1_4,20620041,206200411,74.9296277761459,30.5536091337127
p1_5,20620041,206200411,74.9301863461732,30.5535970072895
p1_6,20620041,206200411,74.9303120747208,30.5536039366744
p1_7,20620041,206200411,74.9303409084677,30.5541450046176
p1_8,20620041,206200411,74.9300753697752,30.5541553986361
p1_9,20620041,206200411,74.9296639859676,30.5541415399446
p1_10,20620041,206200411,74.9292646721005,30.5541418286673
p1_11,20620041,206200411,74.9286665394902,30.5541386527169
p1_12,20620041,206200411,74.9283969774842,30.5539223991214
p1_13,20620041,206200411,74.9281971529126,30.5536221263074
p1_14,20620041,206200411,74.9278407543897,30.5532127143776
p1_15,20620041,206200411,74.9288264662027,30.5532147354563
p1_1,20620059,206200591,74.9485665187239,30.5471215696158
p1_2,20620059,206200591,74.9492501467466,30.5471215696158
p1_3,20620059,206200591,74.9499488621950,30.5471082874074
p1_4,20620059,206200591,74.9499488621950,30.5479340908227
p1_5,20620059,206200591,74.9499518796801,30.5481437167256
p1_6,20620059,206200591,74.9495046213269,30.5481388081353
p1_7,20620059,206200591,74.9485641717910,30.5481428505038
p1_8,20620059,206200591,74.9485665187239,30.5471215696158
p1_1,20620064,206200641,74.9192610383033,30.5453342300238
p1_2,20620064,206200641,74.9192519858479,30.5443380410118
p1_3,20620064,206200641,74.9186038970947,30.5442765368334
p1_4,20620064,206200641,74.9185512587428,30.5437986509279
p1_5,20620064,206200641,74.9173047021031,30.5436802619111
p1_6,20620064,206200641,74.9171209707856,30.5453648374084
p1_7,20620064,206200641,74.9192610383033,30.5453342300238
p1_1,20620084,206200841,74.9364040419459,30.5536183728913
p1_2,20620084,206200841,74.9365773797035,30.5536166405454
p1_3,20620084,206200841,74.9366018548607,30.5536076900910
p1_4,20620084,206200841,74.9366072192788,30.5535756416830
p1_5,20620084,206200841,74.9366135895252,30.5533596755582
p1_6,20620084,206200841,74.9366142600774,30.5525359393897
p1_7,20620084,206200841,74.9365988373756,30.5514425220476
p1_8,20620084,206200841,74.9365911260247,30.5512825650583
p1_9,20620084,206200841,74.9366018548607,30.5510030727910
p1_10,20620084,206200841,74.9366018548607,30.5508760305853
p1_11,20620084,206200841,74.9361841008067,30.5508774742476
p1_12,20620084,206200841,74.9359725415706,30.5508691010057
p1_13,20620084,206200841,74.9357344955205,30.5508812277697
p1_14,20620084,206200841,74.9354984611272,30.5508872911511
p1_15,20620084,206200841,74.9353194236755,30.5508919108701
p1_16,20620084,206200841,74.9351561442017,30.5508841150942
p1_17,20620084,206200841,74.9350646138191,30.5508835376294
p1_18,20620084,206200841,74.9349854886531,30.5508783404451
p1_19,20620084,206200841,74.9349398910999,30.5508832488969
p1_20,20620084,206200841,74.9349459260702,30.5509251150936
p1_21,20620084,206200841,74.9350377917289,30.5510663050996
p1_22,20620084,206200841,74.9351423978805,30.5512349243878
p1_23,20620084,206200841,74.9352087825536,30.5512972903517
p1_24,20620084,206200841,74.9352617561817,30.5513723604403
p1_25,20620084,206200841,74.9352439865469,30.5513908392225
p1_26,20620084,206200841,74.9352272227406,30.5514116278482
p1_27,20620084,206200841,74.9364040419459,30.5536183728913
p1_1,20620095,206200951,74.9400662630796,30.5590211206625
p1_2,20620095,206200951,74.9398895725607,30.5590416189457
p1_3,20620095,206200951,74.9396652728319,30.5590574978945
p1_4,20620095,206200951,74.9394848942756,30.5590762639216
p1_5,20620095,206200951,74.9393903464078,30.5590855025797
p1_6,20620095,206200951,74.9393833056092,30.5591178378763
p1_7,20620095,206200951,74.9393869936466,30.5591631650150
p1_8,20620095,206200951,74.9394087865948,30.5592659449452
p1_9,20620095,206200951,74.9394309148192,30.5593693021811
p1_10,20620095,206200951,74.9394282326102,30.5595026848199
p1_11,20620095,206200951,74.9393678829073,30.5595916064773
p1_12,20620095,206200951,74.9393578246235,30.5597685834295
p1_13,20620095,206200951,74.9393504485487,30.5601563148410
p1_14,20620095,206200951,74.9394661188125,30.5601600680042
p1_15,20620095,206200951,74.9396833777427,30.5601750806556
p1_16,20620095,206200951,74.9398681148886,30.5601773902941
p1_17,20620095,206200951,74.9399931728839,30.5601776789989
p1_18,20620095,206200951,74.9400954321026,30.5601814321612
p1_19,20620095,206200951,74.9400662630796,30.5590211206625
p1_1,20620132,206201321,74.9576166272163,30.5536977720462
p1_2,20620132,206201321,74.9590626731514,30.5537110533530
p1_3,20620132,206201321,74.9582479521632,30.5524386381608
p1_4,20620132,206201321,74.9575606361031,30.5524955175260
p1_5,20620132,206201321,74.9576166272163,30.5536977720462
p1_1,20690006,206900061,74.7941859439015,30.6582212979061
p1_2,20690006,206900061,74.7939438745379,30.6582264893342
p1_3,20690006,206900061,74.7937121987342,30.6582290850481
p1_4,20690006,206900061,74.7936689481139,30.6582158180651
p1_5,20690006,206900061,74.7936588898301,30.6581895725063
p1_6,20690006,206900061,74.7936635836958,30.6581463105808
p1_7,20690006,206900061,74.7936645895242,30.6580315221778
p1_8,20690006,206900061,74.7936696186661,30.6579129842619
p1_9,20690006,206900061,74.7936592251062,30.6576718701934
p1_10,20690006,206900061,74.7936501726508,30.6575934214673
p1_11,20690006,206900061,74.7936562076210,30.6574832470460
p1_12,20690006,206900061,74.7937098518013,30.6574754598439
p1_13,20690006,206900061,74.7938727959990,30.6574766135035
p1_14,20690006,206900061,74.7939344868063,30.6574699799606
p1_15,20690006,206900061,74.7940421104431,30.6574682494710
p1_16,20690006,206900061,74.7942053899168,30.6574685378860
p1_17,20690006,206900061,74.7942573577165,30.6574728641097
p1_18,20690006,206900061,74.7942814975976,30.6575143958480
p1_19,20690006,206900061,74.7942821681499,30.6575893836635
p1_20,20690006,206900061,74.7942855209112,30.6576842720083
p1_21,20690006,206900061,74.7942912206053,30.6577791602599
p1_22,20690006,206900061,74.7943012788891,30.6578535710424
p1_23,20690006,206900061,74.7943156957626,30.6578959678581
p1_24,20690006,206900061,74.7943183779716,30.6579395183092
p1_25,20690006,206900061,74.7943059727549,30.6579922979687
p1_26,20690006,206900061,74.7941859439015,30.6582212979061
p1_1,20690028,206900281,74.8085307329893,30.6480588314735
p1_2,20690028,206900281,74.8096455261111,30.6480273911818
p1_3,20690028,206900281,74.8096746951341,30.6489434820973
p1_4,20690028,206900281,74.8085790127515,30.6489879019022
p1_5,20690028,206900281,74.8085307329893,30.6480588314735
p1_1,20690037,206900371,74.8063775897025,30.6658844073585
p1_2,20690037,206900371,74.8074112460017,30.6658394185377
p1_3,20690037,206900371,74.8072271794080,30.6638489306448
p1_4,20690037,206900371,74.8062233626842,30.6643195915818
p1_5,20690037,206900371,74.8063775897025,30.6658844073585
p1_1,20690083,206900831,74.8000572994351,30.6459373099613
p1_2,20690083,206900831,74.8004009574651,30.6460561510101
p1_3,20690083,206900831,74.8006014525890,30.6457867392965
p1_4,20690083,206900831,74.8008787259459,30.6454051194926
p1_5,20690083,206900831,74.8008622974157,30.6453145458637
p1_6,20690083,206900831,74.8010832443833,30.6453497369016
p1_7,20690083,206900831,74.8012019321322,30.6452363755617
p1_8,20690083,206900831,74.8012954741716,30.6450139792646
p1_9,20690083,206900831,74.8009531572461,30.6450237866348
p1_10,20690083,206900831,74.8007637262344,30.6449909030955
p1_11,20690083,206900831,74.8004763945937,30.6449865763132
