plot_id,a_hhid,resp_id,latitude,longitude
p2_6,12200071,122000711,30.0703755719873,74.9675260484218
p2_7,12200071,122000711,30.0713966099073,74.9678023159503
p2_1,12200107,122001071,30.0784310107888,75.0039249658584
p2_2,12200107,122001071,30.0790626171997,75.0041509419679
p2_3,12200107,122001071,30.0791763465429,75.0036302581429
p2_4,12200107,122001071,30.0787980218950,75.0034837424755
p2_5,12200107,122001071,30.0785537348122,75.0033858418464
p2_6,12200107,122001071,30.0784310107888,75.0039249658584
p2_1,12200116,122001161,30.0649838296314,74.9774629622697
p2_2,12200116,122001161,30.0645720813416,74.9792369082570
p2_3,12200116,122001161,30.0667184346968,74.9799238890409
p2_4,12200116,122001161,30.0669317037128,74.9790394306182
p2_5,12200116,122001161,30.0653421856283,74.9786029011011
p2_6,12200116,122001161,30.0655650330757,74.9776795506477
p2_7,12200116,122001161,30.0649838296314,74.9774629622697
p2_1,12200132,122001321,30.0500170284224,75.0122555717825
p2_2,12200132,122001321,30.0525987135265,75.0109459832310
p2_3,12200132,122001321,30.0520644472106,75.0126803666353
p2_4,12200132,122001321,30.0510025807230,75.0132587179541
p2_5,12200132,122001321,30.0502741552038,75.0131225958466
p2_6,12200132,122001321,30.0500170284224,75.0122555717825
p2_1,12200141,122001411,30.0804586938648,74.9907395616173
p2_2,12200141,122001411,30.0806252237228,74.9907046929001
p2_3,12200141,122001411,30.0814833992775,74.9910456687211
p2_4,12200141,122001411,30.0812791553311,74.9918308854103
p2_5,12200141,122001411,30.0805590760079,74.9916300550103
p2_6,12200141,122001411,30.0804363544723,74.9914536997675
p2_7,12200141,122001411,30.0804586938648,74.9907395616173
p2_1,12220060,122200601,30.3128464984877,75.0984523817896
p2_2,12220060,122200601,30.3123029324505,75.0984356179833
p2_3,12220060,122200601,30.3122812244790,75.0975434482097
p2_4,12220060,122200601,30.3128178441233,75.0975300371646
p2_5,12220060,122200601,30.3128464984877,75.0984523817896
p2_1,12220105,122201051,30.3226350915268,75.0523341447114
p2_2,12220105,122201051,30.3226295927543,75.0524826720356
p2_3,12220105,122201051,30.3226272774816,75.0526392459869
p2_4,12220105,122201051,30.3226240939816,75.0527981668710
p2_5,12220105,122201051,30.3226321974360,75.0529624521732
p2_6,12220105,122201051,30.3226371173902,75.0531545653939
p2_7,12220105,122201051,30.3226350915268,75.0533557310700
p2_8,12220105,122201051,30.3226379856174,75.0535632669925
p2_9,12220105,122201051,30.3226319080270,75.0537282228469
p2_10,12220105,122201051,30.3226376962083,75.0537721440196
p2_11,12220105,122201051,30.3227016555896,75.0537811964750
p2_12,12220105,122201051,30.3227780595017,75.0537708029150
p2_13,12220105,122201051,30.3228446234674,75.0537694618105
p2_14,12220105,122201051,30.3229166861445,75.0537664443254
p2_15,12220105,122201051,30.3229722525100,75.0537617504596
p2_16,12220105,122201051,30.3230547337755,75.0537500157952
p2_17,12220105,122201051,30.3231461866063,75.0537490099668
p2_18,12220105,122201051,30.3232761305134,75.0537386164069
p2_19,12220105,122201051,30.3233201203939,75.0537366047501
p2_20,12220105,122201051,30.3233609267785,75.0537419691681
p2_21,12220105,122201051,30.3233962344167,75.0537500157952
p2_22,12220105,122201051,30.3233936297554,75.0535934418439
p2_23,12220105,122201051,30.3233965238236,75.0534157454967
p2_24,12220105,122201051,30.3233939191622,75.0532766059041
p2_25,12220105,122201051,30.3233944979758,75.0531468540430
p2_26,12220105,122201051,30.3233878416186,75.0530134141445
p2_27,12220105,122201051,30.3233811852610,75.0526590272784
p2_28,12220105,122201051,30.3233554280468,75.0523693487048
p2_29,12220105,122201051,30.3233206992080,75.0521802529692
p2_30,12220105,122201051,30.3226350915268,75.0523341447114
p2_1,12220122,122201221,30.3313430232739,75.0506131723523
p2_2,12220122,122201221,30.3313409975905,75.0494366884231
p2_3,12220122,122201221,30.3328961313320,75.0494169071316
p2_4,12220122,122201221,30.3326669430952,75.0506607815623
p2_5,12220122,122201221,30.3313430232739,75.0506131723523
p2_1,12220161,122201611,30.3314078451201,75.0675784796476
p2_2,12220161,122201611,30.3316286442119,75.0668167322874
p2_3,12220161,122201611,30.3325150187790,75.0668958574533
p2_4,12220161,122201611,30.3325349859883,75.0676294416189
p2_5,12220161,122201611,30.3314078451201,75.0675784796476
p2_1,12220201,122202011,30.3226255410271,75.0329370796680
p2_2,12220201,122202011,30.3224900974767,75.0329310446977
p2_3,12220201,122202011,30.3223546537391,75.0329300388693
p2_4,12220201,122202011,30.3222073439914,75.0329307094216
p2_5,12220201,122202011,30.3220377493907,75.0329357385635
p2_6,12220201,122202011,30.3217793051767,75.0329270213842
p2_7,12220201,122202011,30.3214629777921,75.0329337269067
p2_8,12220201,122202011,30.3212103203276,75.0329280272126
p2_9,12220201,122202011,30.3211628565387,75.0329897180199
p2_10,12220201,122202011,30.3211064209062,75.0331405922770
p2_11,12220201,122202011,30.3210245168279,75.0333893671631
p2_12,12220201,122202011,30.3209738693954,75.0335036963224
p2_13,12220201,122202011,30.3209440597514,75.0335865095257
p2_14,12220201,122202011,30.3209333514305,75.0336502119898
p2_15,12220201,122202011,30.3209356667432,75.0336760282516
p2_16,12220201,122202011,30.3213813634246,75.0336384773254
p2_17,12220201,122202011,30.3215434344424,75.0336378067731
p2_18,12220201,122202011,30.3216548581116,75.0336331129074
p2_19,12220201,122202011,30.3217905922283,75.0336354598402
p2_20,12220201,122202011,30.3219920224685,75.0336354598402
p2_21,12220201,122202011,30.3222032922467,75.0336378067731
p2_22,12220201,122202011,30.3223543643293,75.0336394831538
p2_23,12220201,122202011,30.3224799681439,75.0336411595344
p2_24,12220201,122202011,30.3225610027775,75.0336347892880
p2_25,12220201,122202011,30.3226185952085,75.0336039438843
p2_26,12220201,122202011,30.3226255410271,75.0329370796680
p2_1,12230032,122300321,30.0270882716512,75.1121588051319
p2_2,12230032,122300321,30.0266891381097,75.1117423921823
p2_3,12230032,122300321,30.0276871140884,75.1107174530625
p2_4,12230032,122300321,30.0278540229936,75.1109035313129
p2_5,12230032,122300321,30.0274540217035,75.1113759353756
p2_6,12230032,122300321,30.0274760827747,75.1117742434144
p2_7,12230032,122300321,30.0276299295815,75.1115512847900
p2_8,12230032,122300321,30.0274720188935,75.1117685437202
p2_9,12230032,122300321,30.0274572147536,75.1117239519953
p2_10,12230032,122300321,30.0274612786354,75.1116820424795
p2_11,12230032,122300321,30.0270882716512,75.1121588051319
p2_1,12240148,122401481,30.2834030510394,74.8952307924628
p2_2,12240148,122401481,30.2834638512503,74.8942571505904
p2_3,12240148,122401481,30.2840400037600,74.8942890018224
p2_4,12240148,122401481,30.2840078666990,74.8950651660561
p2_5,12240148,122401481,30.2840342132993,74.8950748890638
p2_6,12240148,122401481,30.2844849996389,74.8950909823179
p2_7,12240148,122401481,30.2845064242432,74.8949619010090
p2_8,12240148,122401481,30.2855886501934,74.8950410261750
p2_9,12240148,122401481,30.2855333521531,74.8957072198390
p2_10,12240148,122401481,30.2844687864217,74.8956163600087
p2_11,12240148,122401481,30.2844534417673,74.8958812281489
p2_12,12240148,122401481,30.2834030510394,74.8952307924628
p2_1,12240149,122401491,30.2886931074555,74.9113230407238
p2_2,12240149,122401491,30.2873489066021,74.9112439155578
p2_3,12240149,122401491,30.2872776863145,74.9122433736920
p2_4,12240149,122401491,30.2886369426367,74.9123463034629
p2_5,12240149,122401491,30.2886931074555,74.9113230407238
p2_1,12240181,122401811,30.2937608367005,74.8998740315437
p2_2,12240181,122401811,30.2937058327615,74.9007229506969
p2_3,12240181,122401811,30.2929198520531,74.9007219448685
p2_4,12240181,122401811,30.2929473542468,74.8998146876692
p2_5,12240181,122401811,30.2937608367005,74.8998740315437
p2_1,12240197,122401971,30.3003321379207,74.9263253062963
p2_2,12240197,122401971,30.3011585853786,74.9263977259397
p2_3,12240197,122401971,30.3010126911323,74.9282598495483
p2_4,12240197,122401971,30.3006769019628,74.9280637130141
p2_5,12240197,122401971,30.3003735328277,74.9279296025634
p2_6,12240197,122401971,30.3000345572354,74.9279570952057
p2_7,12240197,122401971,30.3000345572354,74.9273445457220
p2_8,12240197,122401971,30.3000345572354,74.9270451441407
p2_9,12240197,122401971,30.3002696113147,74.9270350858569
p2_10,12240197,122401971,30.3003321379207,74.9263253062963
p2_1,12240214,122402141,30.2922030553152,74.9214011058211
p2_2,12240214,122402141,30.2922160827663,74.9210618063807
p2_3,12240214,122402141,30.2928217125831,74.9210980162024
p2_4,12240214,122402141,30.2928156331436,74.9213984236121
p2_5,12240214,122402141,30.2928118696809,74.9214433506131
p2_6,12240214,122402141,30.2927641026420,74.9214399978518
p2_7,12240214,122402141,30.2922030553152,74.9214011058211
p2_1,12240222,122402221,30.2774988815767,74.9052786827087
p2_2,12240222,122402221,30.2774560293033,74.9060498178005
p2_3,12240222,122402221,30.2767816826181,74.9060092493891
p2_4,12240222,122402221,30.2768097684248,74.9052666127681
p2_5,12240222,122402221,30.2774988815767,74.9052786827087
p2_1,12240227,122402271,30.2934762633568,74.9211114272475
p2_2,12240227,122402271,30.2934884221534,74.9208019673824
p2_3,12240227,122402271,30.2928990082801,74.9208029732108
p2_4,12240227,122402271,30.2928373454256,74.9208120256662
p2_5,12240227,122402271,30.2928309764900,74.9211070686578
p2_6,12240227,122402271,30.2933315156628,74.9211027100682
p2_7,12240227,122402271,30.2934027315549,74.9211067333817
p2_8,12240227,122402271,30.2934374709958,74.9211067333817
p2_9,12240227,122402271,30.2934762633568,74.9211114272475
p2_1,12250007,122500071,30.3920926361549,75.0555018335580
p2_2,12250007,122500071,30.3916880394044,75.0549657270312
p2_3,12250007,122500071,30.3927878792662,75.0537734851241
p2_4,12250007,122500071,30.3931091817112,75.0542891398072
p2_5,12250007,122500071,30.3931143873226,75.0543293729424
p2_6,12250007,122500071,30.3920926361549,75.0555018335580
p2_1,12250051,122500511,30.4116972301054,75.0564590469002
p2_2,12250051,122500511,30.4115789694837,75.0563192367553
p2_3,12250051,122500511,30.4114491428660,75.0561529397964
p2_4,12250051,122500511,30.4112276565229,75.0558538734912
p2_5,12250051,122500511,30.4111333945586,75.0557472556829
p2_6,12250051,122500511,30.4109393765480,75.0555122271180
p2_7,12250051,122500511,30.4106964920569,75.0552302598953
p2_8,12250051,122500511,30.4111307922331,75.0547652319073
p2_9,12250051,122500511,30.4112588843928,75.0549962371587
p2_10,12250051,122500511,30.4113207618093,75.0549751147627
p2_11,12250051,122500511,30.4113543028224,75.0550478696823
p2_12,12250051,122500511,30.4116972301054,75.0564590469002
p2_1,12250060,122500601,30.4062622981325,75.1192683354020
p2_2,12250060,122500601,30.4063094314777,75.1203174144029
p2_3,12250060,122500601,30.4069892479326,75.1197608560323
p2_4,12250060,122500601,30.4069750791139,75.1192787289619
p2_5,12250060,122500601,30.4062622981325,75.1192683354020
p2_1,12290009,122900091,30.0325137159007,74.8677659779787
p2_2,12290009,122900091,30.0333630202389,74.8672442883253
p2_3,12290009,122900091,30.0336103214326,74.8677599430084
p2_4,12290009,122900091,30.0348801975368,74.8669435456395
p2_5,12290009,122900091,30.0351797407969,74.8675631359219
p2_6,12290009,122900091,30.0338718446762,74.8683071136474
p2_7,12290009,122900091,30.0329865523308,74.8688311502337
p2_8,12290009,122900091,30.0325137159007,74.8677659779787
p2_1,12290037,122900371,30.0501107665927,74.8762239888310
p2_2,12290037,122900371,30.0493181974093,74.8767279088497
p2_3,12290037,122900371,30.0489313424067,74.8758545145392
p2_4,12290037,122900371,30.0497398763473,74.8754035681486
p2_5,12290037,122900371,30.0501107665927,74.8762239888310
p2_1,12290059,122900591,30.0107221885049,74.8174165561795
p2_2,12290059,122900591,30.0097533650219,74.8178980126976
p2_3,12290059,122900591,30.0090568630606,74.8165676370263
p2_4,12290059,122900591,30.0100085639745,74.8159188777208
p2_5,12290059,122900591,30.0107221885049,74.8174165561795
p2_1,12290061,122900611,30.0374936239177,74.8793916776776
p2_2,12290061,122900611,30.0378279889122,74.8801343142986
p2_3,12290061,122900611,30.0383820686978,74.8798047378659
p2_4,12290061,122900611,30.0380192614356,74.8790698125958
p2_5,12290061,122900611,30.0374936239177,74.8793916776776
p2_1,12290165,122901651,30.0353814675791,74.8841495811939
p2_2,12290165,122901651,30.0363802267919,74.8835685476660
p2_3,12290165,122901651,30.0366292619589,74.8841076716780
p2_4,12290165,122901651,30.0356876851471,74.8847001045942
p2_5,12290165,122901651,30.0353814675791,74.8841495811939
p2_1,12290197,122901971,30.0366005271638,74.8651672527194
p2_2,12290197,122901971,30.0370054257796,74.8648862913250
p2_3,12290197,122901971,30.0366713482598,74.8640849813818
p2_4,12290197,122901971,30.0362536772132,74.8643552139401
p2_5,12290197,122901971,30.0366005271638,74.8651672527194
p2_1,12290221,122902211,30.0459702409056,74.8869377374649
p2_2,12290221,122902211,30.0457264532450,74.8863339051604
p2_3,12290221,122902211,30.0451692220535,74.8866504058241
p2_4,12290221,122902211,30.0450934731964,74.8865018784999
p2_5,12290221,122902211,30.0446343352061,74.8867533355951
p2_6,12290221,122902211,30.0449979889224,74.8875311762094
p2_7,12290221,122902211,30.0450168536039,74.8875083774328
p2_8,12290221,122902211,30.0459702409056,74.8869377374649
p2_1,12290339,122903391,30.0186860989215,74.8861800134181
p2_2,12290339,122903391,30.0190344618558,74.8866061493754
p2_3,12290339,122903391,30.0184660490372,74.8871751129627
p2_4,12290339,122903391,30.0178064770659,74.8863349109888
p2_5,12290339,122903391,30.0184108913380,74.8854893445968
p2_6,12290339,122903391,30.0188390884609,74.8859231919050
p2_7,12290339,122903391,30.0188565066098,74.8859456554055
p2_8,12290339,122903391,30.0186860989215,74.8861800134181
p2_1,12310037,123100371,30.0109315135223,74.7206555306911
p2_2,12310037,123100371,30.0114183884493,74.7206531837582
p2_3,12310037,123100371,30.0114514854059,74.7209478914737
p2_4,12310037,123100371,30.0109707074779,74.7209730371832
p2_5,12310037,123100371,30.0109315135223,74.7206555306911
p2_1,12310077,123100771,29.9996569471118,74.7285563126206
p2_2,12310077,123100771,30.0001569434421,74.7285539656877
p2_3,12310077,123100771,30.0002036909378,74.7296707704663
p2_4,12310077,123100771,29.9996528820907,74.7295430302619
p2_5,12310077,123100771,29.9996569471118,74.7285563126206
p2_1,12310107,123101071,29.9740509810724,74.7800604254007
p2_2,12310107,123101071,29.9732941083945,74.7808587178587
p2_3,12310107,123101071,29.9736754498006,74.7813525795936
p2_4,12310107,123101071,29.9743919494584,74.7805204242467
p2_5,12310107,123101071,29.9740509810724,74.7800604254007
p2_1,12310131,123101311,29.9842075034174,74.7913622483611
p2_2,12310131,123101311,29.9838958996099,74.7909096255898
p2_3,12310131,123101311,29.9824708732790,74.7929122298955
p2_4,12310131,123101311,29.9828277851965,74.7934121266007
p2_5,12310131,123101311,29.9842075034174,74.7913622483611
p2_1,12310165,123101651,30.0057072561444,74.7323355451226
p2_2,12310165,123101651,30.0057124822813,74.7339770570397
p2_3,12310165,123101651,30.0071525628324,74.7339924797415
p2_4,12310165,123101651,30.0071650473103,74.7326926141977
p2_5,12310165,123101651,30.0057072561444,74.7323355451226
p2_1,12330006,123300061,30.3340044456653,75.2141357213258
p2_2,12330006,123300061,30.3340513244807,75.2158929035067
p2_3,12330006,123300061,30.3326027008417,75.2144455164670
p2_4,12330006,123300061,30.3332621947642,75.2134557813405
p2_5,12330006,123300061,30.3340044456653,75.2141357213258
p2_1,12330053,123300531,30.3428797678708,75.1796029508113
p2_2,12330053,123300531,30.3428774530768,75.1788522675633
p2_3,12330053,123300531,30.3434263470588,75.1787962764501
p2_4,12330053,123300531,30.3434463120428,75.1793796569108
p2_5,12330053,123300531,30.3439775527306,75.1794550940394
p2_6,12330053,123300531,30.3439778420766,75.1799392327666
p2_7,12330053,123300531,30.3428887376968,75.1799694076180
p2_8,12330053,123300531,30.3428797678708,75.1796029508113
p2_1,12330086,123300861,30.2797213832931,75.2114592120051
p2_2,12330086,123300861,30.2802512323166,75.2114317193627
p2_3,12330086,123300861,30.2802552857953,75.2134460583329
p2_4,12330086,123300861,30.2797312275086,75.2134735509753
p2_5,12330086,123300861,30.2797213832931,75.2114592120051
p2_1,12330256,123302561,30.2781170524927,75.2178033068776
p2_2,12330256,123302561,30.2780860716542,75.2184436842799
p2_3,12330256,123302561,30.2787065551816,75.2184410020709
p2_4,12330256,123302561,30.2786634138967,75.2177627384662
p2_5,12330256,123302561,30.2781170524927,75.2178033068776
p2_1,12330277,123302771,30.3308415206652,75.2002857998013
p2_2,12330277,123302771,30.3307998492423,75.2016839012503
p2_3,12330277,123302771,30.3296871578152,75.2016839012503
p2_4,12330277,123302771,30.3297079937656,75.2004544436931
p2_5,12330277,123302771,30.3308415206652,75.2002857998013
p2_1,12340020,123400201,30.3254272704136,75.1772526651620
p2_2,12340020,123400201,30.3254674971190,75.1779423281550
p2_3,12340020,123400201,30.3259768410251,75.1779188588261
p2_4,12340020,123400201,30.3259997035588,75.1772419363260
p2_5,12340020,123400201,30.3254272704136,75.1772526651620
p2_1,12340027,123400271,30.3113885885293,75.2204714342951
p2_2,12340027,123400271,30.3116644266412,75.2204814925789
p2_3,12340027,123400271,30.3119935210433,75.2204979211091
p2_4,12340027,123400271,30.3123119050772,75.2204938977956
p2_5,12340027,123400271,30.3127486684010,75.2204650640487
p2_6,12340027,123400271,30.3129405657866,75.2204483002424
p2_7,12340027,123400271,30.3128349209677,75.2202799916267
p2_8,12340027,123400271,30.3127295654733,75.2200828492641
p2_9,12340027,123400271,30.3125923716102,75.2198344096541
p2_10,12340027,123400271,30.3124381006445,75.2195400372147
p2_11,12340027,123400271,30.3123706612905,75.2193844690918
p2_12,12340027,123400271,30.3121388200671,75.2193978801369
p2_13,12340027,123400271,30.3118713770758,75.2194002270698
p2_14,12340027,123400271,30.3118791919788,75.2195930108428
p2_15,12340027,123400271,30.3118647199358,75.2195997163653
p2_16,12340027,123400271,30.3118166727377,75.2196154743432
p2_17,12340027,123400271,30.3116829508937,75.2196121215820
p2_18,12340027,123400271,30.3116800564795,75.2196590602397
p2_19,12340027,123400271,30.3115723842096,75.2196433022618
p2_20,12340027,123400271,30.3114979976529,75.2196533605456
p2_21,12340027,123400271,30.3114571863275,75.2196714654564
p2_22,12340027,123400271,30.3114163749850,75.2196982875466
p2_23,12340027,123400271,30.3113932196058,75.2197241038084
p2_24,12340027,123400271,30.3113807735872,75.2201304584741
