resp_id,a_hhid,plot,plot_id,crop_burned_plotlevel,land_plot_burn_perc,crop_burning,land_plot_name,land_plot_area,land_plot_unit,land_plot_unit_other,land_plot_tenure,land_plot_dist,land_plot_dist_unit,land_plot_soil,land_plot_irri,land_plot_seccrop,land_plot_paddy,land_plot_cult18,land_plot_paddy18,land_plot_paddy18_area,land_plot_burn,land_plot_crm,land_crm_labor,land_crm_equip,land_crm_oth,field_points,field_name
100101271,10010127,1,p1,1,,2,Moter wala,2,1,,1,1,1,5,2,1,2,1,1,2,1,0,0,600,0,30.3154279618458 74.78476971387863;30.316462959337123 74.78610008955002;30.316474825855707 74.78473551571369;30.315881498165975 74.7847318276763;30.315605961353818 74.78474389761686;30.3154279618458 74.78476971387863,Moter wala
100101271,10010127,2,p2,1,,2,Niaae wala 1,1.5,1,,1,1,1,1,1.5,1,1.5,1,1,1.5,1,0,0,600,0,30.312649680462485 74.78131704032421;30.312648522708244 74.77987099438906;30.312165737990167 74.7798776999116;30.31214229334797 74.77994944900274;30.312165737990167 74.78068303316833;30.312649680462485 74.78131704032421,Niaae wala 1
100101271,10010127,3,p3,2,,2,Niaae wala 2,2,1,,1,1,1,1,2,1,2,1,1,2,0,1,8000,1000,500,30.312069064985028 74.78122517466545;30.31178888639557 74.78119399398565;30.311776440427227 74.78323481976986;30.312109586615566 74.78323750197887;30.312109586615566 74.78213243186474;30.312079484834495 74.78159833699466;30.312069064985028 74.78122517466545,Niaae wala 2
100101451,10010145,1,p1,1,,1,Ghar wala,2,1,,1,2,2,2,2,1,2,1,1,2,1,0,2400,1000,2500,30.305398976262957 74.76525865495205;30.305397239503087 74.76592484861611;30.304287733119384 74.76592518389225;30.30431494266171 74.76526770740747;30.305398976262957 74.76525865495205,Ghar wala
100101451,10010145,2,p2,1,,1,Brani wala,4,1,,1,3,1,1,4,1,4,1,1,4,1,0,4800,2000,5000,30.306693722181965 74.79044627398252;30.30773981113372 74.79043923318386;30.30774212675821 74.78898078203201;30.306677512636092 74.78901162743568;30.306693722181965 74.79044627398252,Brani wala
100101641,10010164,1,p1,2,,2,Theh wala,3,1,,1,1,1,4,3,1,3,1,1,3,0,1,0,400,2100,30.324698556443384 74.80838857591152;30.32466295987149 74.80776999145746;30.324674825396894 74.80771534144878;30.323053576144257 74.80770528316498;30.323037079896494 74.80839964002371;30.324698556443384 74.80838857591152,Theh wala
100101641,10010164,2,p2,1,,2,Jhande wala,2,1,,1,3,1,5,2,1,2,1,1,2,1,0,0,600,0,30.320132828774064 74.77359931915998;30.31911899767074 74.77361105382442;30.31912160244579 74.77283623069525;30.320133986439913 74.77280706167221;30.320132828774064 74.77359931915998,Jhande wala
100101711,10010171,1,p1,1,,2,Ghar wala khet,2.5,1,,1,2,2,2,2.5,1,2.5,1,1,2.5,1,0,3500,5000,0,30.30653538953888 74.74921401590109;30.306395871348926 74.7492203861475;30.3064062918015 74.74972866475582;30.307085645028394 74.74970519542694;30.307070014457416 74.74923010915518;30.307613898970423 74.74919725209475;30.307608688808457 74.74851697683334;30.306538863018243 74.74852703511715;30.30653538953888 74.74921401590109,Ghar wala khet
100102141,10010214,1,p1,,,1,Lehe wala,1.5,1,,1,1,1,1,1.5,1,1.5,0,,,,,,,,30.310293911684386 74.7481770068407;30.31029188556571 74.74772203713655;30.309351761986985 74.74776227027178;30.30934886750394 74.74815052002668;30.310293911684386 74.7481770068407,Lehe wala
100200011,10020001,1,p1,1,,1,Kangarh vala rah te,3,1,,1,2,1,5,3,1,3,1,1,3,1,0,0,0,700,30.50653190420552 75.25143418461084;30.506565123592782 75.25236424058676;30.505481876855473 75.25243498384953;30.50542785863564 75.2515260502696;30.50545790085785 75.2514884993434;30.50653190420552 75.25143418461084,Kangarh vala rah te
100200021,10020002,1,p1,3,3,2,gharde sahmne wala,3.5,1,,1,2,2,6,3.5,-98,3.5,1,1,3.5,1,1,0,4200,0,30.507053302844643 75.25497805327177;30.507564010823575 75.25495793670417;30.507588852885345 75.25550846010445;30.508062295152175 75.25549873709679;30.508090314542958 75.25612000375986;30.50710789788674 75.25613207370043;30.507053302844643 75.25497805327177,gharde sahmne wala
100200021,10020002,2,p2,3,2,2,ghar de magar wala,2,1,,1,3,2,2,2,-98,2,1,1,2,1,1,0,2500,0,30.506438312131667 75.25500889867544;30.50599605947788 75.25504879653454;30.505435946927133 75.25504276156425;30.50539348338921 75.2551044523716;30.50494255991394 75.25511384010315;30.504963358480257 75.25561138987541;30.506461710158586 75.25559596717358;30.506438312131667 75.25500889867544,ghar de magar wala
100200021,10020002,3,p3,3,2,2,rohi wala,2,1,,1,2,1,2,2,-98,2,1,1,2,1,1,0,2500,0,30.504883052880217 75.27243722230196;30.504857054650152 75.27199901640415;30.505523473752948 75.27197990566492;30.505549760672064 75.2723641321063;30.504883052880217 75.27243722230196,rohi wala
100200021,10020002,4,p4,3,2,2,bhole de naal wala,2,1,,1,2,1,2,2,-98,2,1,1,2,1,1,0,2500,0,30.504931294022022 75.2735972777009;30.50661971890892 75.2735198289156;30.506634450973124 75.27454376220703;30.5049336049743 75.2745732665062;30.504931294022022 75.2735972777009,bhole de naal wala
100200221,10020022,1,p1,1,,2,Neai vala,3,1,,1,2,1,4,3,1,3,1,1,3,1,0,0,0,0,30.504335644235425 75.25466457009315;30.505378173401606 75.25460589677095;30.505401282815935 75.25506187230349;30.504944581996973 75.25511048734188;30.504933027236238 75.25553662329912;30.504267470700327 75.25557350367308;30.504272381507416 75.2553066238761;30.504335644235425 75.25466457009315,Neai vala
100200221,10020022,2,p2,1,,2,Neai2,3,1,,1,2,1,4,3,1,3,1,1,3,1,0,0,0,0,30.504400640146024 75.2542820200324;30.50538337302031 75.25422636419535;30.505380484343277 75.25240749120712;30.504756528095193 75.25243028998375;30.504400640146024 75.2542820200324,Neai2
